"","Series","Date","Value"
"86","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,109834521
"87","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,108428259
"88","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,109734323
"89","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,110097208
"90","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,109633760
"91","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,116140524
"92","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,114212846
"93","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,118732697
"94","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,119828469
"95","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,120132051
"96","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,123363933
"97","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,128484661
"98","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,129245120
"99","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,130520527
"100","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,136824678
"101","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,136176214
"102","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,129780739
"103","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,131854845
"104","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,134986542
"105","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,131916447
"106","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,132271185
"107","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,132081254
"108","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,147796035
"109","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,135469397
"110","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,133810580
"111","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,135957184
"112","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,143427594
"113","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,138158673
"114","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,138541742
"115","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,137392642
"116","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,143858023
"117","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,146525832
"118","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,144402424
"119","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,146256447
"120","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,157699252
"121","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,143229837
"122","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,141797745
"123","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,152653454
"124","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,142890637
"125","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,147920699
"126","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,154491842
"127","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,143692328
"128","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,146534262
"129","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,152866917
"130","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,154811373
"131","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,149359243
"132","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,159556363
"133","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,154995906
"134","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,153334235
"135","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,158739365
"136","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,164419784
"137","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,165923078
"138","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,167003068
"139","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,171038318
"140","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,172884156
"141","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,172559020
"142","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,172916975
"143","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,177677223
"144","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,180775683
"145","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,170775994
"146","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,171272793
"147","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,213344153
"148","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,177933246
"149","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,175838685
"150","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,170628733
"151","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,187883243
"152","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,190271934
"153","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,192017139
"154","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,180682191
"155","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,186025875
"156","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,184105406
"157","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,176369076
"158","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,171913240
"159","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,183803014
"160","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,175902353
"161","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,167134254
"162","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,184845219
"163","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,187245482
"164","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,181161654
"165","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,188783351
"166","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,184111959
"167","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,185258141
"168","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,192402745
