"","Series","Date","Value"
"12121","Financial corporate sector-2",2015-05-01,54038
"12122","Financial corporate sector-2",2015-06-01,59330
"12123","Financial corporate sector-2",2015-07-01,50725
"12124","Financial corporate sector-2",2015-08-01,52258
"12125","Financial corporate sector-2",2015-09-01,53069
"12126","Financial corporate sector-2",2015-10-01,52074
"12127","Financial corporate sector-2",2015-11-01,51423
"12128","Financial corporate sector-2",2015-12-01,39090
"12129","Financial corporate sector-2",2016-01-01,45490
"12130","Financial corporate sector-2",2016-02-01,57168
"12131","Financial corporate sector-2",2016-03-01,45293
"12132","Financial corporate sector-2",2016-04-01,51587
"12133","Financial corporate sector-2",2016-05-01,57455
"12134","Financial corporate sector-2",2016-06-01,58225
"12135","Financial corporate sector-2",2016-07-01,53477
"12136","Financial corporate sector-2",2016-08-01,66221
"12137","Financial corporate sector-2",2016-09-01,55188
"12138","Financial corporate sector-2",2016-10-01,170704
"12139","Financial corporate sector-2",2016-11-01,58654
"12140","Financial corporate sector-2",2016-12-01,41822
"12141","Financial corporate sector-2",2017-01-01,44919
"12142","Financial corporate sector-2",2017-02-01,63273
"12143","Financial corporate sector-2",2017-03-01,50282
"12144","Financial corporate sector-2",2017-04-01,57402
"12145","Financial corporate sector-2",2017-05-01,48141
"12146","Financial corporate sector-2",2017-06-01,47495
"12147","Financial corporate sector-2",2017-07-01,50862
"12148","Financial corporate sector-2",2017-08-01,51071
"12149","Financial corporate sector-2",2017-09-01,59225
"12150","Financial corporate sector-2",2017-10-01,50873
"12151","Financial corporate sector-2",2017-11-01,52583
"12152","Financial corporate sector-2",2017-12-01,41834
"12153","Financial corporate sector-2",2018-01-01,48974
"12154","Financial corporate sector-2",2018-02-01,58161
"12155","Financial corporate sector-2",2018-03-01,49474
"12156","Financial corporate sector-2",2018-04-01,48894
"12157","Financial corporate sector-2",2018-05-01,61573
"12158","Financial corporate sector-2",2018-06-01,63816
"12159","Financial corporate sector-2",2018-07-01,58633
"12160","Financial corporate sector-2",2018-08-01,61707
"12161","Financial corporate sector-2",2018-09-01,60320
"12162","Financial corporate sector-2",2018-10-01,63707
"12163","Financial corporate sector-2",2018-11-01,154763
"12164","Financial corporate sector-2",2018-12-01,71902
"12165","Financial corporate sector-2",2019-01-01,118472
"12166","Financial corporate sector-2",2019-02-01,97963
"12167","Financial corporate sector-2",2019-03-01,413810
"12168","Financial corporate sector-2",2019-04-01,127667
"12169","Financial corporate sector-2",2019-05-01,163218
"12170","Financial corporate sector-2",2019-06-01,168861
"12171","Financial corporate sector-2",2019-07-01,150120
"12172","Financial corporate sector-2",2019-08-01,164046
"12173","Financial corporate sector-2",2019-09-01,160974
"12174","Financial corporate sector-2",2019-10-01,170699
"12175","Financial corporate sector-2",2019-11-01,172964
"12176","Financial corporate sector-2",2019-12-01,159533
"12177","Financial corporate sector-2",2020-01-01,137054
"12178","Financial corporate sector-2",2020-02-01,158831
"12179","Financial corporate sector-2",2020-03-01,129691
"12180","Financial corporate sector-2",2020-04-01,78644
"12181","Financial corporate sector-2",2020-05-01,67553
"12182","Financial corporate sector-2",2020-06-01,63462
"12183","Financial corporate sector-2",2020-07-01,67200
"12184","Financial corporate sector-2",2020-08-01,72469
"12185","Financial corporate sector-2",2020-09-01,82444
"12186","Financial corporate sector-2",2020-10-01,98698
"12187","Financial corporate sector-2",2020-11-01,89079
"12188","Financial corporate sector-2",2020-12-01,78433
"12189","Financial corporate sector-2",2021-01-01,76227
"12190","Financial corporate sector-2",2021-02-01,81809
"12191","Financial corporate sector-2",2021-03-01,91197
"12192","Financial corporate sector-2",2021-04-01,124364
"12193","Financial corporate sector-2",2021-05-01,125075
"12194","Financial corporate sector-2",2021-06-01,109519
"12195","Financial corporate sector-2",2021-07-01,111771
"12196","Financial corporate sector-2",2021-08-01,111942
"12197","Financial corporate sector-2",2021-09-01,121705
"12198","Financial corporate sector-2",2021-10-01,161534
"12199","Financial corporate sector-2",2021-11-01,137893
"12200","Financial corporate sector-2",2021-12-01,125160
"12201","Financial corporate sector-2",2022-01-01,118100
"12202","Financial corporate sector-2",2022-02-01,144449
"12203","Financial corporate sector-2",2022-03-01,153202
"12204","Financial corporate sector-2",2022-04-01,153026
"12205","Financial corporate sector-2",2022-05-01,166464
"12206","Financial corporate sector-2",2022-06-01,171531
"12207","Financial corporate sector-2",2022-07-01,188224
"12208","Financial corporate sector-2",2022-08-01,178238
"12209","Financial corporate sector-2",2022-09-01,186916
"12210","Financial corporate sector-2",2022-10-01,198911
"12211","Financial corporate sector-2",2022-11-01,204349
"12212","Financial corporate sector-2",2022-12-01,159940
"12213","Financial corporate sector-2",2023-01-01,144759
"12214","Financial corporate sector-2",2023-02-01,175447
"12215","Financial corporate sector-2",2023-03-01,181822
"12216","Financial corporate sector-2",2023-04-01,175351
"12217","Financial corporate sector-2",2023-05-01,191489
"12218","Financial corporate sector-2",2023-06-01,177582
"12219","Financial corporate sector-2",2023-07-01,184507
"12220","Financial corporate sector-2",2023-08-01,204620
"12221","Non-financial corporate sector-3",2008-01-01,2013928
"12222","Non-financial corporate sector-3",2008-02-01,2372104
"12223","Non-financial corporate sector-3",2008-03-01,2254850
"12224","Non-financial corporate sector-3",2008-04-01,2178690
"12225","Non-financial corporate sector-3",2008-05-01,2141126
"12226","Non-financial corporate sector-3",2008-06-01,2111881
"12227","Non-financial corporate sector-3",2008-07-01,2133662
"12228","Non-financial corporate sector-3",2008-08-01,2192299
"12229","Non-financial corporate sector-3",2008-09-01,1932818
"12230","Non-financial corporate sector-3",2008-10-01,2439906
"12231","Non-financial corporate sector-3",2008-11-01,2278189
"12232","Non-financial corporate sector-3",2008-12-01,2115789
"12233","Non-financial corporate sector-3",2009-01-01,2011370
"12234","Non-financial corporate sector-3",2009-02-01,2250331
"12235","Non-financial corporate sector-3",2009-03-01,2288676
"12236","Non-financial corporate sector-3",2009-04-01,2002680
"12237","Non-financial corporate sector-3",2009-05-01,1938022
"12238","Non-financial corporate sector-3",2009-06-01,2162038
"12239","Non-financial corporate sector-3",2009-07-01,2116120
"12240","Non-financial corporate sector-3",2009-08-01,2223893
"12241","Non-financial corporate sector-3",2009-09-01,1519359
"12242","Non-financial corporate sector-3",2009-10-01,2927114
"12243","Non-financial corporate sector-3",2009-11-01,3681704
"12244","Non-financial corporate sector-3",2009-12-01,3473641
"12245","Non-financial corporate sector-3",2010-01-01,3524945
"12246","Non-financial corporate sector-3",2010-02-01,3096412
"12247","Non-financial corporate sector-3",2010-03-01,3086235
"12248","Non-financial corporate sector-3",2010-04-01,3072934
"12249","Non-financial corporate sector-3",2010-05-01,2965250
"12250","Non-financial corporate sector-3",2010-06-01,2875744
"12251","Non-financial corporate sector-3",2010-07-01,2813786
"12252","Non-financial corporate sector-3",2010-08-01,2853755
"12253","Non-financial corporate sector-3",2010-09-01,2938140
"12254","Non-financial corporate sector-3",2010-10-01,3002642
"12255","Non-financial corporate sector-3",2010-11-01,2922348
"12256","Non-financial corporate sector-3",2010-12-01,1660548
"12257","Non-financial corporate sector-3",2011-01-01,1089841
"12258","Non-financial corporate sector-3",2011-02-01,2577154
"12259","Non-financial corporate sector-3",2011-03-01,2697246
"12260","Non-financial corporate sector-3",2011-04-01,2664733
"12261","Non-financial corporate sector-3",2011-05-01,2660301
"12262","Non-financial corporate sector-3",2011-06-01,2700739
"12263","Non-financial corporate sector-3",2011-07-01,2716747
"12264","Non-financial corporate sector-3",2011-08-01,2654494
"12265","Non-financial corporate sector-3",2011-09-01,2734368
"12266","Non-financial corporate sector-3",2011-10-01,2885102
"12267","Non-financial corporate sector-3",2011-11-01,2947524
"12268","Non-financial corporate sector-3",2011-12-01,2622088
"12269","Non-financial corporate sector-3",2012-01-01,2652765
"12270","Non-financial corporate sector-3",2012-02-01,3067030
"12271","Non-financial corporate sector-3",2012-03-01,3032748
"12272","Non-financial corporate sector-3",2012-04-01,3084572
"12273","Non-financial corporate sector-3",2012-05-01,2987008
"12274","Non-financial corporate sector-3",2012-06-01,3237806
"12275","Non-financial corporate sector-3",2012-07-01,3790582
"12276","Non-financial corporate sector-3",2012-08-01,3788260
"12277","Non-financial corporate sector-3",2012-09-01,3766013
"12278","Non-financial corporate sector-3",2012-10-01,4065117
"12279","Non-financial corporate sector-3",2012-11-01,4316300
"12280","Non-financial corporate sector-3",2012-12-01,3669452
"12281","Non-financial corporate sector-3",2013-01-01,3765367
"12282","Non-financial corporate sector-3",2013-02-01,4213872
"12283","Non-financial corporate sector-3",2013-03-01,4278117
"12284","Non-financial corporate sector-3",2013-04-01,4252893
"12285","Non-financial corporate sector-3",2013-05-01,4425563
"12286","Non-financial corporate sector-3",2013-06-01,4429310
"12287","Non-financial corporate sector-3",2013-07-01,4399205
"12288","Non-financial corporate sector-3",2013-08-01,4560401
"12289","Non-financial corporate sector-3",2013-09-01,4521774
"12290","Non-financial corporate sector-3",2013-10-01,5537827
"12291","Non-financial corporate sector-3",2013-11-01,5689799
"12292","Non-financial corporate sector-3",2013-12-01,5080764
"12293","Non-financial corporate sector-3",2014-01-01,5072529
"12294","Non-financial corporate sector-3",2014-02-01,4956922
"12295","Non-financial corporate sector-3",2014-03-01,4917082
"12296","Non-financial corporate sector-3",2014-04-01,5374927
"12297","Non-financial corporate sector-3",2014-05-01,6102745
"12298","Non-financial corporate sector-3",2014-06-01,6255151
"12299","Non-financial corporate sector-3",2014-07-01,5547128
"12300","Non-financial corporate sector-3",2014-08-01,6715908
"12301","Non-financial corporate sector-3",2014-09-01,6514713
"12302","Non-financial corporate sector-3",2014-10-01,6661292
"12303","Non-financial corporate sector-3",2014-11-01,6603970
"12304","Non-financial corporate sector-3",2014-12-01,6080888
"12305","Non-financial corporate sector-3",2015-01-01,5746580
"12306","Non-financial corporate sector-3",2015-02-01,6039887
"12307","Non-financial corporate sector-3",2015-03-01,6034365
"12308","Non-financial corporate sector-3",2015-04-01,6175181
"12309","Non-financial corporate sector-3",2015-05-01,5765921
"12310","Non-financial corporate sector-3",2015-06-01,6405224
"12311","Non-financial corporate sector-3",2015-07-01,6530040
"12312","Non-financial corporate sector-3",2015-08-01,6590141
"12313","Non-financial corporate sector-3",2015-09-01,6528592
"12314","Non-financial corporate sector-3",2015-10-01,5964022
"12315","Non-financial corporate sector-3",2015-11-01,6419715
"12316","Non-financial corporate sector-3",2015-12-01,5887268
"12317","Non-financial corporate sector-3",2016-01-01,5911520
"12318","Non-financial corporate sector-3",2016-02-01,6159724
"12319","Non-financial corporate sector-3",2016-03-01,5491640
"12320","Non-financial corporate sector-3",2016-04-01,6304152
"12321","Non-financial corporate sector-3",2016-05-01,6332753
"12322","Non-financial corporate sector-3",2016-06-01,6566548
"12323","Non-financial corporate sector-3",2016-07-01,6647480
"12324","Non-financial corporate sector-3",2016-08-01,6406773
"12325","Non-financial corporate sector-3",2016-09-01,6654079
"12326","Non-financial corporate sector-3",2016-10-01,6400485
"12327","Non-financial corporate sector-3",2016-11-01,6814368
"12328","Non-financial corporate sector-3",2016-12-01,6127814
"12329","Non-financial corporate sector-3",2017-01-01,5446549
"12330","Non-financial corporate sector-3",2017-02-01,6659395
"12331","Non-financial corporate sector-3",2017-03-01,6849121
"12332","Non-financial corporate sector-3",2017-04-01,6680163
"12333","Non-financial corporate sector-3",2017-05-01,6845278
"12334","Non-financial corporate sector-3",2017-06-01,6969920
"12335","Non-financial corporate sector-3",2017-07-01,6822094
"12336","Non-financial corporate sector-3",2017-08-01,6739243
"12337","Non-financial corporate sector-3",2017-09-01,6932504
"12338","Non-financial corporate sector-3",2017-10-01,7008919
"12339","Non-financial corporate sector-3",2017-11-01,7229009
"12340","Non-financial corporate sector-3",2017-12-01,6618921
"12341","Non-financial corporate sector-3",2018-01-01,6248091
"12342","Non-financial corporate sector-3",2018-02-01,6932191
"12343","Non-financial corporate sector-3",2018-03-01,6990978
"12344","Non-financial corporate sector-3",2018-04-01,6950103
"12345","Non-financial corporate sector-3",2018-05-01,7130900
"12346","Non-financial corporate sector-3",2018-06-01,7352726
"12347","Non-financial corporate sector-3",2018-07-01,7384756
"12348","Non-financial corporate sector-3",2018-08-01,7620423
"12349","Non-financial corporate sector-3",2018-09-01,7790977
"12350","Non-financial corporate sector-3",2018-10-01,7639794
"12351","Non-financial corporate sector-3",2018-11-01,7750492
"12352","Non-financial corporate sector-3",2018-12-01,6969159
"12353","Non-financial corporate sector-3",2019-01-01,6740275
"12354","Non-financial corporate sector-3",2019-02-01,7071770
"12355","Non-financial corporate sector-3",2019-03-01,6881989
"12356","Non-financial corporate sector-3",2019-04-01,6992866
"12357","Non-financial corporate sector-3",2019-05-01,7259945
"12358","Non-financial corporate sector-3",2019-06-01,7449815
"12359","Non-financial corporate sector-3",2019-07-01,7201920
"12360","Non-financial corporate sector-3",2019-08-01,7431926
"12361","Non-financial corporate sector-3",2019-09-01,7416813
"12362","Non-financial corporate sector-3",2019-10-01,7475801
"12363","Non-financial corporate sector-3",2019-11-01,7616790
"12364","Non-financial corporate sector-3",2019-12-01,6778528
"12365","Non-financial corporate sector-3",2020-01-01,6733763
"12366","Non-financial corporate sector-3",2020-02-01,7254850
"12367","Non-financial corporate sector-3",2020-03-01,6760777
"12368","Non-financial corporate sector-3",2020-04-01,4827325
"12369","Non-financial corporate sector-3",2020-05-01,4248865
"12370","Non-financial corporate sector-3",2020-06-01,4477853
"12371","Non-financial corporate sector-3",2020-07-01,4489388
"12372","Non-financial corporate sector-3",2020-08-01,4556431
"12373","Non-financial corporate sector-3",2020-09-01,4762292
"12374","Non-financial corporate sector-3",2020-10-01,5002519
"12375","Non-financial corporate sector-3",2020-11-01,5117320
"12376","Non-financial corporate sector-3",2020-12-01,4827887
"12377","Non-financial corporate sector-3",2021-01-01,4649080
"12378","Non-financial corporate sector-3",2021-02-01,5266390
"12379","Non-financial corporate sector-3",2021-03-01,5483889
"12380","Non-financial corporate sector-3",2021-04-01,5112550
"12381","Non-financial corporate sector-3",2021-05-01,4908176
"12382","Non-financial corporate sector-3",2021-06-01,4774386
"12383","Non-financial corporate sector-3",2021-07-01,4622456
"12384","Non-financial corporate sector-3",2021-08-01,4911174
"12385","Non-financial corporate sector-3",2021-09-01,5167210
"12386","Non-financial corporate sector-3",2021-10-01,5278006
"12387","Non-financial corporate sector-3",2021-11-01,5353799
"12388","Non-financial corporate sector-3",2021-12-01,4793564
"12389","Non-financial corporate sector-3",2022-01-01,4771150
"12390","Non-financial corporate sector-3",2022-02-01,5248066
"12391","Non-financial corporate sector-3",2022-03-01,5514930
"12392","Non-financial corporate sector-3",2022-04-01,5277892
"12393","Non-financial corporate sector-3",2022-05-01,5421236
"12394","Non-financial corporate sector-3",2022-06-01,5762050
"12395","Non-financial corporate sector-3",2022-07-01,6059441
"12396","Non-financial corporate sector-3",2022-08-01,5808922
"12397","Non-financial corporate sector-3",2022-09-01,6044479
"12398","Non-financial corporate sector-3",2022-10-01,5905946
"12399","Non-financial corporate sector-3",2022-11-01,6067460
"12400","Non-financial corporate sector-3",2022-12-01,5482449
"12401","Non-financial corporate sector-3",2023-01-01,5262144
"12402","Non-financial corporate sector-3",2023-02-01,5768800
"12403","Non-financial corporate sector-3",2023-03-01,6099370
"12404","Non-financial corporate sector-3",2023-04-01,5873025
"12405","Non-financial corporate sector-3",2023-05-01,6110324
"12406","Non-financial corporate sector-3",2023-06-01,6148624
"12407","Non-financial corporate sector-3",2023-07-01,5929924
"12408","Non-financial corporate sector-3",2023-08-01,6302737
"12409","Household sector-5",2008-01-01,52975826
"12410","Household sector-5",2008-02-01,53272820
"12411","Household sector-5",2008-03-01,53118915
"12412","Household sector-5",2008-04-01,54030885
"12413","Household sector-5",2008-05-01,54215936
"12414","Household sector-5",2008-06-01,54078733
"12415","Household sector-5",2008-07-01,54095349
"12416","Household sector-5",2008-08-01,54373768
"12417","Household sector-5",2008-09-01,54572814
"12418","Household sector-5",2008-10-01,54261611
"12419","Household sector-5",2008-11-01,54180214
"12420","Household sector-5",2008-12-01,53690368
"12421","Household sector-5",2009-01-01,54118120
"12422","Household sector-5",2009-02-01,54011085
"12423","Household sector-5",2009-03-01,53169640
"12424","Household sector-5",2009-04-01,53728485
"12425","Household sector-5",2009-05-01,53933770
"12426","Household sector-5",2009-06-01,52333584
"12427","Household sector-5",2009-07-01,52170865
"12428","Household sector-5",2009-08-01,52476756
"12429","Household sector-5",2009-09-01,53294173
"12430","Household sector-5",2009-10-01,51806428
"12431","Household sector-5",2009-11-01,50100315
"12432","Household sector-5",2009-12-01,49981781
"12433","Household sector-5",2010-01-01,50225791
"12434","Household sector-5",2010-02-01,51453196
"12435","Household sector-5",2010-03-01,50277812
"12436","Household sector-5",2010-04-01,50486992
"12437","Household sector-5",2010-05-01,50286336
"12438","Household sector-5",2010-06-01,50177842
"12439","Household sector-5",2010-07-01,49875701
"12440","Household sector-5",2010-08-01,49960168
"12441","Household sector-5",2010-09-01,50216970
"12442","Household sector-5",2010-10-01,50549508
"12443","Household sector-5",2010-11-01,50106370
"12444","Household sector-5",2010-12-01,51130330
"12445","Household sector-5",2011-01-01,55636421
"12446","Household sector-5",2011-02-01,54981829
"12447","Household sector-5",2011-03-01,54682611
"12448","Household sector-5",2011-04-01,55468329
"12449","Household sector-5",2011-05-01,55925252
"12450","Household sector-5",2011-06-01,56163245
"12451","Household sector-5",2011-07-01,56434798
"12452","Household sector-5",2011-08-01,56784504
"12453","Household sector-5",2011-09-01,57224068
"12454","Household sector-5",2011-10-01,57712822
"12455","Household sector-5",2011-11-01,58345595
"12456","Household sector-5",2011-12-01,59055711
"12457","Household sector-5",2012-01-01,60234523
"12458","Household sector-5",2012-02-01,60842661
"12459","Household sector-5",2012-03-01,61314832
"12460","Household sector-5",2012-04-01,62151972
"12461","Household sector-5",2012-05-01,63191348
"12462","Household sector-5",2012-06-01,63688237
"12463","Household sector-5",2012-07-01,64043693
"12464","Household sector-5",2012-08-01,64590246
"12465","Household sector-5",2012-09-01,65806137
"12466","Household sector-5",2012-10-01,66532076
"12467","Household sector-5",2012-11-01,76839936
"12468","Household sector-5",2012-12-01,77510901
"12469","Household sector-5",2013-01-01,78763068
"12470","Household sector-5",2013-02-01,79409470
"12471","Household sector-5",2013-03-01,79545140
"12472","Household sector-5",2013-04-01,80422818
"12473","Household sector-5",2013-05-01,81394992
"12474","Household sector-5",2013-06-01,82400567
"12475","Household sector-5",2013-07-01,82776309
"12476","Household sector-5",2013-08-01,83856474
"12477","Household sector-5",2013-09-01,84835668
"12478","Household sector-5",2013-10-01,85624624
"12479","Household sector-5",2013-11-01,86636214
"12480","Household sector-5",2013-12-01,87849032
"12481","Household sector-5",2014-01-01,89371729
"12482","Household sector-5",2014-02-01,90438473
"12483","Household sector-5",2014-03-01,90195200
"12484","Household sector-5",2014-04-01,91753832
"12485","Household sector-5",2014-05-01,92508577
"12486","Household sector-5",2014-06-01,93087286
"12487","Household sector-5",2014-07-01,94607124
"12488","Household sector-5",2014-08-01,94302171
"12489","Household sector-5",2014-09-01,95088072
"12490","Household sector-5",2014-10-01,95841654
"12491","Household sector-5",2014-11-01,96592353
"12492","Household sector-5",2014-12-01,97214396
"12493","Household sector-5",2015-01-01,98779704
"12494","Household sector-5",2015-02-01,99215935
"12495","Household sector-5",2015-03-01,98876038
"12496","Household sector-5",2015-04-01,99854843
"12497","Household sector-5",2015-05-01,100763710
"12498","Household sector-5",2015-06-01,101251165
"12499","Household sector-5",2015-07-01,101194569
"12500","Household sector-5",2015-08-01,101251895
"12501","Household sector-5",2015-09-01,101840257
"12502","Household sector-5",2015-10-01,102149776
"12503","Household sector-5",2015-11-01,102419186
"12504","Household sector-5",2015-12-01,102738117
"12505","Household sector-5",2016-01-01,104109178
"12506","Household sector-5",2016-02-01,104067349
"12507","Household sector-5",2016-03-01,103752541
"12508","Household sector-5",2016-04-01,100626523
"12509","Household sector-5",2016-05-01,100679572
"12510","Household sector-5",2016-06-01,100548266
"12511","Household sector-5",2016-07-01,100960654
"12512","Household sector-5",2016-08-01,100739784
"12513","Household sector-5",2016-09-01,100733546
"12514","Household sector-5",2016-10-01,101013204
"12515","Household sector-5",2016-11-01,101514919
"12516","Household sector-5",2016-12-01,101548413
"12517","Household sector-5",2017-01-01,103380816
"12518","Household sector-5",2017-02-01,103214423
"12519","Household sector-5",2017-03-01,102402512
"12520","Household sector-5",2017-04-01,103538366
"12521","Household sector-5",2017-05-01,103614049
"12522","Household sector-5",2017-06-01,103658170
"12523","Household sector-5",2017-07-01,103476535
"12524","Household sector-5",2017-08-01,103691737
"12525","Household sector-5",2017-09-01,103955413
"12526","Household sector-5",2017-10-01,104338218
"12527","Household sector-5",2017-11-01,105339485
"12528","Household sector-5",2017-12-01,105384693
"12529","Household sector-5",2018-01-01,106979287
"12530","Household sector-5",2018-02-01,107586176
"12531","Household sector-5",2018-03-01,107023706
"12532","Household sector-5",2018-04-01,107888884
"12533","Household sector-5",2018-05-01,108568480
"12534","Household sector-5",2018-06-01,108988902
"12535","Household sector-5",2018-07-01,109502201
"12536","Household sector-5",2018-08-01,110009642
"12537","Household sector-5",2018-09-01,110753639
"12538","Household sector-5",2018-10-01,111563756
"12539","Household sector-5",2018-11-01,113154097
"12540","Household sector-5",2018-12-01,113064819
"12541","Household sector-5",2019-01-01,115513714
"12542","Household sector-5",2019-02-01,116887397
"12543","Household sector-5",2019-03-01,117144512
"12544","Household sector-5",2019-04-01,118389238
"12545","Household sector-5",2019-05-01,119322773
"12546","Household sector-5",2019-06-01,121242655
"12547","Household sector-5",2019-07-01,121619363
"12548","Household sector-5",2019-08-01,122400169
"12549","Household sector-5",2019-09-01,123976325
"12550","Household sector-5",2019-10-01,125468933
"12551","Household sector-5",2019-11-01,127087616
"12552","Household sector-5",2019-12-01,123756260
"12553","Household sector-5",2020-01-01,126371701
"12554","Household sector-5",2020-02-01,127725044
"12555","Household sector-5",2020-03-01,127161673
"12556","Household sector-5",2020-04-01,122529570
"12557","Household sector-5",2020-05-01,123265970
"12558","Household sector-5",2020-06-01,123140780
"12559","Household sector-5",2020-07-01,124585110
"12560","Household sector-5",2020-08-01,125042656
"12561","Household sector-5",2020-09-01,126291850
"12562","Household sector-5",2020-10-01,126616534
"12563","Household sector-5",2020-11-01,127802829
"12564","Household sector-5",2020-12-01,127458336
"12565","Household sector-5",2021-01-01,127658995
"12566","Household sector-5",2021-02-01,128643059
"12567","Household sector-5",2021-03-01,128474282
"12568","Household sector-5",2021-04-01,129568764
"12569","Household sector-5",2021-05-01,130144024
"12570","Household sector-5",2021-06-01,130175846
"12571","Household sector-5",2021-07-01,128900468
"12572","Household sector-5",2021-08-01,129658008
"12573","Household sector-5",2021-09-01,129931461
"12574","Household sector-5",2021-10-01,130730831
"12575","Household sector-5",2021-11-01,131684639
"12576","Household sector-5",2021-12-01,130325596
"12577","Household sector-5",2022-01-01,132353761
"12578","Household sector-5",2022-02-01,133195793
"12579","Household sector-5",2022-03-01,133526664
"12580","Household sector-5",2022-04-01,134468988
"12581","Household sector-5",2022-05-01,135715834
"12582","Household sector-5",2022-06-01,135425664
"12583","Household sector-5",2022-07-01,135977265
"12584","Household sector-5",2022-08-01,137097637
"12585","Household sector-5",2022-09-01,138230259
"12586","Household sector-5",2022-10-01,140070987
"12587","Household sector-5",2022-11-01,141693070
"12588","Household sector-5",2022-12-01,141414154
"12589","Household sector-5",2023-01-01,144149946
"12590","Household sector-5",2023-02-01,145048109
"12591","Household sector-5",2023-03-01,144784886
"12592","Household sector-5",2023-04-01,146637480
"12593","Household sector-5",2023-05-01,147782148
"12594","Household sector-5",2023-06-01,147940664
"12595","Household sector-5",2023-07-01,148377518
"12596","Household sector-5",2023-08-01,149710802
"12597","Otherb-5",2008-01-01,585943
"12598","Otherb-5",2008-02-01,786689
"12599","Otherb-5",2008-03-01,818179
"12600","Otherb-5",2008-04-01,908280
"12601","Otherb-5",2008-05-01,961896
"12602","Otherb-5",2008-06-01,1043473
"12603","Otherb-5",2008-07-01,1110667
"12604","Otherb-5",2008-08-01,1223383
"12605","Otherb-5",2008-09-01,1267708
"12606","Otherb-5",2008-10-01,1365776
"12607","Otherb-5",2008-11-01,1489829
"12608","Otherb-5",2008-12-01,1522938
"12609","Otherb-5",2009-01-01,1573706
"12610","Otherb-5",2009-02-01,1647105
"12611","Otherb-5",2009-03-01,1694057
"12612","Otherb-5",2009-04-01,1749672
"12613","Otherb-5",2009-05-01,1828926
"12614","Otherb-5",2009-06-01,1919138
"12615","Otherb-5",2009-07-01,1947031
"12616","Otherb-5",2009-08-01,1982901
"12617","Otherb-5",2009-09-01,2054162
"12618","Otherb-5",2009-10-01,2117141
"12619","Otherb-5",2009-11-01,2159535
"12620","Otherb-5",2009-12-01,2268792
"12621","Otherb-5",2010-01-01,2388523
"12622","Otherb-5",2010-02-01,2518039
"12623","Otherb-5",2010-03-01,2597470
"12624","Otherb-5",2010-04-01,2690854
"12625","Otherb-5",2010-05-01,2803480
"12626","Otherb-5",2010-06-01,2895155
"12627","Otherb-5",2010-07-01,3031394
"12628","Otherb-5",2010-08-01,3131722
"12629","Otherb-5",2010-09-01,3234994
"12630","Otherb-5",2010-10-01,3428229
"12631","Otherb-5",2010-11-01,3557393
"12632","Otherb-5",2010-12-01,3752322
"12633","Otherb-5",2011-01-01,228175
"12634","Otherb-5",2011-02-01,252359
"12635","Otherb-5",2011-03-01,278580
"12636","Otherb-5",2011-04-01,286799
"12637","Otherb-5",2011-05-01,300036
"12638","Otherb-5",2011-06-01,306868
"12639","Otherb-5",2011-07-01,327663
"12640","Otherb-5",2011-08-01,325550
"12641","Otherb-5",2011-09-01,298021
"12642","Otherb-5",2011-10-01,307080
"12643","Otherb-5",2011-11-01,317972
"12644","Otherb-5",2011-12-01,272139
"12645","Otherb-5",2012-01-01,277916
"12646","Otherb-5",2012-02-01,81710
"12647","Otherb-5",2012-03-01,83826
"12648","Otherb-5",2012-04-01,84699
"12649","Otherb-5",2012-05-01,81840
"12650","Otherb-5",2012-06-01,104952
"12651","Otherb-5",2012-07-01,70986
"12652","Otherb-5",2012-08-01,78206
"12653","Otherb-5",2012-09-01,90166
"12654","Otherb-5",2012-10-01,96069
"12655","Otherb-5",2012-11-01,93907
"12656","Otherb-5",2012-12-01,77638
"12657","Otherb-5",2013-01-01,80058
"12658","Otherb-5",2013-02-01,93968
"12659","Otherb-5",2013-03-01,91007
"12660","Otherb-5",2013-04-01,98960
"12661","Otherb-5",2013-05-01,116857
"12662","Otherb-5",2013-06-01,117564
"12663","Otherb-5",2013-07-01,153053
"12664","Otherb-5",2013-08-01,146650
"12665","Otherb-5",2013-09-01,160447
"12666","Otherb-5",2013-10-01,814081
"12667","Otherb-5",2013-11-01,841809
"12668","Otherb-5",2013-12-01,715330
"12669","Otherb-5",2014-01-01,702307
"12670","Otherb-5",2014-02-01,1037235
"12671","Otherb-5",2014-03-01,1041299
"12672","Otherb-5",2014-04-01,470528
"12673","Otherb-5",2014-05-01,287343
"12674","Otherb-5",2014-06-01,232366
"12675","Otherb-5",2014-07-01,232388
"12676","Otherb-5",2014-08-01,232764
"12677","Otherb-5",2014-09-01,223443
"12678","Otherb-5",2014-10-01,238146
"12679","Otherb-5",2014-11-01,225336
"12680","Otherb-5",2014-12-01,176545
"12681","Otherb-5",2015-01-01,174432
"12682","Otherb-5",2015-02-01,189487
"12683","Otherb-5",2015-03-01,201191
"12684","Otherb-5",2015-04-01,215394
"12685","Otherb-5",2015-05-01,873158
"12686","Otherb-5",2015-06-01,167201
"12687","Otherb-5",2015-07-01,190240
"12688","Otherb-5",2015-08-01,195669
"12689","Otherb-5",2015-09-01,204991
"12690","Otherb-5",2015-10-01,899315
"12691","Otherb-5",2015-11-01,208861
"12692","Otherb-5",2015-12-01,146061
"12693","Otherb-5",2016-01-01,156834
